country,region,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,year
Finland,Western Europe,7.632,1.305,1.592,0.874,0.681,0.202,0.393,2018
Norway,Western Europe,7.594,1.456,1.582,0.861,0.686,0.286,0.34,2018
Denmark,Western Europe,7.555,1.351,1.59,0.868,0.683,0.284,0.408,2018
Iceland,Western Europe,7.495,1.343,1.644,0.914,0.677,0.353,0.138,2018
Switzerland,Western Europe,7.487,1.42,1.549,0.927,0.66,0.256,0.357,2018
Netherlands,Western Europe,7.441,1.361,1.488,0.878,0.638,0.333,0.295,2018
Canada,North America and ANZ,7.328,1.33,1.532,0.896,0.653,0.321,0.291,2018
New Zealand,North America and ANZ,7.324,1.268,1.601,0.876,0.669,0.365,0.389,2018
Sweden,Western Europe,7.314,1.355,1.501,0.913,0.659,0.285,0.383,2018
Australia,North America and ANZ,7.272,1.34,1.573,0.91,0.647,0.361,0.302,2018
United Kingdom,Western Europe,7.19,1.244,1.433,0.888,0.464,0.262,0.082,2018
Austria,Western Europe,7.139,1.341,1.504,0.891,0.617,0.242,0.224,2018
Costa Rica,Latin America and Caribbean,7.072,1.01,1.459,0.817,0.632,0.143,0.101,2018
Ireland,Western Europe,6.977,1.448,1.583,0.876,0.614,0.307,0.306,2018
Germany,Western Europe,6.965,1.34,1.474,0.861,0.586,0.273,0.28,2018
Belgium,Western Europe,6.927,1.324,1.483,0.894,0.583,0.188,0.24,2018
Luxembourg,Western Europe,6.91,1.576,1.52,0.896,0.632,0.196,0.321,2018
United States,North America and ANZ,6.886,1.398,1.471,0.819,0.547,0.291,0.133,2018
Israel,Middle East and North Africa,6.814,1.301,1.559,0.883,0.533,0.354,0.272,2018
Czech Republic,Central and Eastern Europe,6.711,1.233,1.489,0.854,0.543,0.064,0.034,2018
Finland,Western Europe,7.769,1.34,1.587,0.986,0.596,0.153,0.393,2019
Denmark,Western Europe,7.6,1.383,1.573,0.996,0.592,0.252,0.41,2019
Norway,Western Europe,7.554,1.488,1.582,1.028,0.603,0.271,0.341,2019
Iceland,Western Europe,7.494,1.38,1.624,1.026,0.591,0.354,0.118,2019
Netherlands,Western Europe,7.488,1.396,1.522,0.999,0.557,0.322,0.298,2019
Switzerland,Western Europe,7.48,1.452,1.526,1.052,0.572,0.263,0.343,2019
Sweden,Western Europe,7.343,1.387,1.487,1.009,0.574,0.267,0.373,2019
New Zealand,North America and ANZ,7.307,1.303,1.557,1.026,0.585,0.33,0.38,2019
Canada,North America and ANZ,7.278,1.365,1.505,1.039,0.584,0.285,0.308,2019
Austria,Western Europe,7.246,1.376,1.475,1.016,0.532,0.244,0.226,2019
Australia,North America and ANZ,7.228,1.372,1.548,1.036,0.557,0.332,0.29,2019
Costa Rica,Latin America and Caribbean,7.167,1.034,1.441,0.963,0.558,0.144,0.093,2019
Israel,Middle East and North Africa,7.139,1.276,1.455,1.029,0.371,0.261,0.082,2019
Luxembourg,Western Europe,7.09,1.609,1.479,1.012,0.526,0.194,0.316,2019
United Kingdom,Western Europe,7.054,1.333,1.538,0.996,0.45,0.348,0.278,2019
Ireland,Western Europe,7.021,1.499,1.553,0.999,0.516,0.298,0.31,2019
Germany,Western Europe,6.985,1.373,1.454,0.987,0.495,0.261,0.265,2019
Belgium,Western Europe,6.923,1.356,1.504,0.986,0.473,0.16,0.21,2019
United States,North America and ANZ,6.892,1.433,1.457,0.874,0.454,0.28,0.128,2019
Czech Republic,Central and Eastern Europe,6.852,1.269,1.487,0.92,0.457,0.046,0.036,2019
Finland,Western Europe,7.808700085,1.285189509,1.499525905,0.961271405,0.66231674,0.159670442,0.477857262,2020
Denmark,Western Europe,7.645599842,1.326948524,1.503449202,0.979332566,0.665039897,0.242793396,0.495260328,2020
Switzerland,Western Europe,7.559899807,1.39077425,1.472403407,1.040533185,0.62895447,0.269055754,0.407945901,2020
Iceland,Western Europe,7.504499912,1.326501608,1.547567487,1.000843406,0.661980748,0.362330228,0.144540772,2020
Norway,Western Europe,7.487999916,1.42420733,1.495172501,1.008071899,0.670200884,0.287985086,0.434100568,2020
Netherlands,Western Europe,7.448900223,1.338946342,1.463645935,0.975675344,0.61362648,0.336317569,0.368569762,2020
Sweden,Western Europe,7.353499889,1.322235227,1.433347702,0.986470461,0.650297701,0.272827893,0.442066371,2020
New Zealand,North America and ANZ,7.299600124,1.242317915,1.48721838,1.008138299,0.646789908,0.325726211,0.461268276,2020
Austria,Western Europe,7.294199944,1.317285538,1.437444925,1.000933528,0.603368878,0.255509764,0.281256139,2020
Luxembourg,Western Europe,7.237500191,1.536676049,1.387528419,0.986442685,0.610137045,0.19595392,0.367041469,2020
Canada,North America and ANZ,7.23210001,1.301647663,1.435391903,1.022501945,0.644028127,0.28152892,0.351701856,2020
Australia,North America and ANZ,7.222799778,1.310396433,1.477146268,1.022607684,0.621877193,0.324973613,0.335996419,2020
United Kingdom,Western Europe,7.164500237,1.273061037,1.457844973,0.97570008,0.525168657,0.373433441,0.322601646,2020
Israel,Middle East and North Africa,7.128600121,1.216463685,1.403256774,1.008052945,0.420699477,0.266861796,0.09989845,2020
Costa Rica,Latin America and Caribbean,7.121399879,0.981107712,1.374853611,0.939635336,0.645017743,0.131266311,0.096362092,2020
Ireland,Western Europe,7.093699932,1.446886778,1.470596433,0.975670695,0.587779939,0.295426995,0.373433262,2020
Germany,Western Europe,7.075799942,1.314184546,1.368543744,0.972114801,0.564274132,0.252037704,0.309362292,2020
United States,North America and ANZ,6.939599991,1.37398684,1.404786706,0.831618011,0.534608245,0.298143059,0.152284741,2020
Czech Republic,Central and Eastern Europe,6.910900116,1.212322354,1.40528667,0.89456445,0.505744576,0.046325929,0.049803223,2020
Belgium,Western Europe,6.863500118,1.295842767,1.398677588,0.964901149,0.499805421,0.146966159,0.208724052,2020
Finland,Western Europe,7.842,1.446,1.106,0.741,0.691,0.124,0.481,2021
Denmark,Western Europe,7.62,1.502,1.108,0.763,0.686,0.208,0.485,2021
Switzerland,Western Europe,7.571,1.566,1.079,0.816,0.653,0.204,0.413,2021
Iceland,Western Europe,7.554,1.482,1.172,0.772,0.698,0.293,0.17,2021
Netherlands,Western Europe,7.464,1.501,1.079,0.753,0.647,0.302,0.384,2021
Norway,Western Europe,7.392,1.543,1.108,0.782,0.703,0.249,0.427,2021
Sweden,Western Europe,7.363,1.478,1.062,0.763,0.685,0.244,0.448,2021
Luxembourg,Western Europe,7.324,1.751,1.003,0.76,0.639,0.166,0.353,2021
New Zealand,North America and ANZ,7.277,1.4,1.094,0.785,0.665,0.276,0.445,2021
