country,Trust in government,year
Switzerland,82.4147080665547,2022
Luxembourg,80.8052598064363,2022
Finland,75.8498973670364,2022
Ireland,62.8665611128652,2022
Norway,61.2444704025286,2022
Denmark,59.9302999817543,2022
Germany,59.6032628971044,2022
Sweden,58.4721168114139,2022
Mexico,58.2258972073594,2022
Costa Rica,56.6922995901884,2022
Belgium,54.0642438491453,2022
Estonia,53.2515222125284,2022
New Zealand,52.1094300622897,2022
Australia,51.8979688314896,2022
Portugal,51.8005274079399,2022
Canada,51.054040363451,2022
Iceland,48.6198557412012,2022
Türkiye,47.2856145781887,2022
Netherlands,47.1665800035596,2022
Austria,47.0976387228915,2022
Slovenia,46.1378711563382,2022
Israel,45.5160013087694,2022
France,44.0578531877114,2022
Italy,42.5664916034517,2022
Japan,42.2171181082776,2022
Lithuania,41.1280067818139,2022
Hungary,40.9821594726848,2022
Spain,38.8166796121141,2022
Poland,38.2927879027986,2022
Czechia,37.3899033145008,2022
United Kingdom,33.8596870929583,2022
Chile,32.9369596591086,2022
Greece,32.1713999477071,2022
Korea,31.8012192000391,2022
Latvia,31.7961087510268,2022
United States,30.9280437076301,2022
Colombia,30.0606184194698,2022
Slovak Rep.,22.0013972949228,2022
Switzerland,84.6814431108437,2020
Norway,80.5234625740254,2020
Finland,77.4218128228277,2020
Denmark,69.042140745947,2020
Netherlands,68.5619912981381,2020
Sweden,65.4856315106943,2020
Iceland,64.246948825984,2020
New Zealand,64.0517050596517,2020
Germany,63.7306492814822,2020
Austria,62.7243012030955,2020
Portugal,62.1304165574487,2020
Ireland,61.3032699278199,2020
Canada,60.7703716597511,2020
Estonia,55.8313913445791,2020
Türkiye,52.6358880722199,2020
Mexico,48.8407193831876,2020
Australia,48.5392135205675,2020
Lithuania,47.3416772014576,2020
Israel,46.4084350721576,2020
Korea,45.3789156606672,2020
Hungary,45.0727255312867,2020
United States,43.6899037760797,2020
France,43.0665701234606,2020
Greece,40.3197728510101,2020
Slovenia,40.1075927828099,2020
Belgium,39.255601571737,2020
Japan,38.5160147942005,2020
Spain,37.9524162880048,2020
United Kingdom,37.6249777846025,2020
Italy,36.7660925297812,2020
Colombia,33.3724486589101,2020
Latvia,32.6714484917563,2020
Czechia,32.5161684774982,2020
Costa Rica,31.4183408978547,2020
Poland,27.7610940645938,2020
Slovak Rep.,26.7956689682107,2020
Chile,20.9050552195241,2020
Switzerland,84.2933448635261,2019
Luxembourg,78.0304967635858,2019
New Zealand,66.9703176566263,2019
Norway,66.8344304622784,2019
Netherlands,65.0628000548596,2019
Denmark,61.7768145042876,2019
Ireland,61.2779498084939,2019
Canada,60.9914721615327,2019
Finland,60.9413155575778,2019
Germany,60.9279861737013,2019
Türkiye,60.2987714827353,2019
Sweden,53.8339818161763,2019
Poland,52.9070858153402,2019
Portugal,51.2938723704886,2019
Austria,49.1623206478053,2019
Estonia,48.6589387688304,2019
Australia,47.5511441200775,2019
Hungary,46.7919031435154,2019
Israel,46.0589041695201,2019
Iceland,46.0144386498416,2019
