"Trust in government"
"% of population aged 15+, 2021"
"Category","Percentage of population aged 15 years or over"
"Switzerland",84.6814431108437
"Norway",80.5234625740254
"Finland",77.4218128228277
"Denmark",69.042140745947
"Netherlands",68.5619912981381
"Sweden",65.4856315106943
"Iceland",64.246948825984
"New Zealand",64.0517050596517
"Germany",63.7306492814822
"Austria",62.7243012030955
"Portugal",62.1304165574487
"Ireland",61.3032699278199
"Canada",60.7703716597511
"Estonia",55.8313913445791
"Türkiye",52.6358880722199
"Mexico",48.8407193831876
"Australia",48.5392135205675
"Lithuania",47.3416772014576
"Israel",46.4084350721576
"Korea",45.3789156606672
"Hungary",45.0727255312867
"United States",43.6899037760797
"France",43.0665701234606
"Greece",40.3197728510101
"Slovenia",40.1075927828099
"Belgium",39.255601571737
"Japan",38.5160147942005
"Spain",37.9524162880048
"United Kingdom",37.6249777846025
"Italy",36.7660925297812
"Colombia",33.3724486589101
"Latvia",32.6714484917563
"Czechia",32.5161684774982
"Costa Rica",31.4183408978547
"Poland",27.7610940645938
"Slovak Rep.",26.7956689682107
"Chile",20.9050552195241
