country,Percentage of population aged 15 years or over,year
Switzerland,84.2933448635261,2018
Luxembourg,78.0304967635858,2018
New Zealand,66.9703176566263,2018
Norway,66.8344304622784,2018
Netherlands,65.0628000548596,2018
Denmark,61.7768145042876,2018
Ireland,61.2779498084939,2018
Canada,60.9914721615327,2018
Finland,60.9413155575778,2018
Germany,60.9279861737013,2018
Türkiye,60.2987714827353,2018
Sweden,53.8339818161763,2018
Poland,52.9070858153402,2018
Portugal,51.2938723704886,2018
Austria,49.1623206478053,2018
Estonia,48.6589387688304,2018
Australia,47.5511441200775,2018
Hungary,46.7919031435154,2018
Israel,46.0589041695201,2018
Czechia,44.4137244347207,2018
Japan,44.3786927581277,2018
Belgium,42.3496418228868,2018
Costa Rica,41.0652322035004,2018
United Kingdom,40.9196501661353,2018
Lithuania,39.8188555650196,2018
Korea,39.5375599009574,2018
France,38.9915854611354,2018
Mexico,35.8312448036839,2018
United States,35.7625234162457,2018
Slovak Rep.,32.1224750380191,2018
Spain,31.4544593822078,2018
Slovenia,29.4108687403275,2018
Colombia,28.4761536416501,2018
Latvia,26.312517898408,2018
Chile,25.8695372961268,2018
Greece,25.1864080264858,2018
Italy,22.4882199385052,2018
