country,Percentage of population aged 15 years or over,year
Switzerland,84.6814431108437,2021
Norway,80.5234625740254,2021
Finland,77.4218128228277,2021
Denmark,69.042140745947,2021
Netherlands,68.5619912981381,2021
Sweden,65.4856315106943,2021
Iceland,64.246948825984,2021
New Zealand,64.0517050596517,2021
Germany,63.7306492814822,2021
Austria,62.7243012030955,2021
Portugal,62.1304165574487,2021
Ireland,61.3032699278199,2021
Canada,60.7703716597511,2021
Estonia,55.8313913445791,2021
Türkiye,52.6358880722199,2021
Mexico,48.8407193831876,2021
Australia,48.5392135205675,2021
Lithuania,47.3416772014576,2021
Israel,46.4084350721576,2021
Korea,45.3789156606672,2021
Hungary,45.0727255312867,2021
United States,43.6899037760797,2021
France,43.0665701234606,2021
Greece,40.3197728510101,2021
Slovenia,40.1075927828099,2021
Belgium,39.255601571737,2021
Japan,38.5160147942005,2021
Spain,37.9524162880048,2021
United Kingdom,37.6249777846025,2021
Italy,36.7660925297812,2021
Colombia,33.3724486589101,2021
Latvia,32.6714484917563,2021
Czechia,32.5161684774982,2021
Costa Rica,31.4183408978547,2021
Poland,27.7610940645938,2021
Slovak Rep.,26.7956689682107,2021
Chile,20.9050552195241,2021
