country,region,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,year
Finland,Western Europe,7.632,1.305,1.592,0.874,0.681,0.202,0.393,2018
Norway,Western Europe,7.594,1.456,1.582,0.861,0.686,0.286,0.34,2018
Denmark,Western Europe,7.555,1.351,1.59,0.868,0.683,0.284,0.408,2018
Iceland,Western Europe,7.495,1.343,1.644,0.914,0.677,0.353,0.138,2018
Switzerland,Western Europe,7.487,1.42,1.549,0.927,0.66,0.256,0.357,2018
Netherlands,Western Europe,7.441,1.361,1.488,0.878,0.638,0.333,0.295,2018
Canada,North America and ANZ,7.328,1.33,1.532,0.896,0.653,0.321,0.291,2018
New Zealand,North America and ANZ,7.324,1.268,1.601,0.876,0.669,0.365,0.389,2018
Sweden,Western Europe,7.314,1.355,1.501,0.913,0.659,0.285,0.383,2018
Australia,North America and ANZ,7.272,1.34,1.573,0.91,0.647,0.361,0.302,2018
United Kingdom,Western Europe,7.19,1.244,1.433,0.888,0.464,0.262,0.082,2018
Austria,Western Europe,7.139,1.341,1.504,0.891,0.617,0.242,0.224,2018
Costa Rica,Latin America and Caribbean,7.072,1.01,1.459,0.817,0.632,0.143,0.101,2018
Ireland,Western Europe,6.977,1.448,1.583,0.876,0.614,0.307,0.306,2018
Germany,Western Europe,6.965,1.34,1.474,0.861,0.586,0.273,0.28,2018
Belgium,Western Europe,6.927,1.324,1.483,0.894,0.583,0.188,0.24,2018
Luxembourg,Western Europe,6.91,1.576,1.52,0.896,0.632,0.196,0.321,2018
United States,North America and ANZ,6.886,1.398,1.471,0.819,0.547,0.291,0.133,2018
Israel,Middle East and North Africa,6.814,1.301,1.559,0.883,0.533,0.354,0.272,2018
United Arab Emirates,Middle East and North Africa,6.774,2.096,0.776,0.67,0.284,0.186,,2018
Czech Republic,Central and Eastern Europe,6.711,1.233,1.489,0.854,0.543,0.064,0.034,2018
Malta,Western Europe,6.627,1.27,1.525,0.884,0.645,0.376,0.142,2018
France,Western Europe,6.489,1.293,1.466,0.908,0.52,0.098,0.176,2018
Mexico,Latin America and Caribbean,6.488,1.038,1.252,0.761,0.479,0.069,0.095,2018
Chile,Latin America and Caribbean,6.476,1.131,1.331,0.808,0.431,0.197,0.061,2018
Taiwan Province of China,East Asia,6.441,1.365,1.436,0.857,0.418,0.151,0.078,2018
Panama,Latin America and Caribbean,6.43,1.112,1.438,0.759,0.597,0.125,0.063,2018
Brazil,Latin America and Caribbean,6.419,0.986,1.474,0.675,0.493,0.11,0.088,2018
Argentina,Latin America and Caribbean,6.388,1.073,1.468,0.744,0.57,0.062,0.054,2018
Guatemala,Latin America and Caribbean,6.382,0.781,1.268,0.608,0.604,0.179,0.071,2018
Uruguay,Latin America and Caribbean,6.379,1.093,1.459,0.771,0.625,0.13,0.155,2018
Qatar,Middle East and North Africa,6.374,1.649,1.303,0.748,0.654,0.256,0.171,2018
Saudi Arabia,Middle East and North Africa,6.371,1.379,1.331,0.633,0.509,0.098,0.127,2018
Singapore,Southeast Asia,6.343,1.529,1.451,1.008,0.631,0.261,0.457,2018
Malaysia,Southeast Asia,6.322,1.161,1.258,0.669,0.356,0.311,0.059,2018
Spain,Western Europe,6.31,1.251,1.538,0.965,0.449,0.142,0.074,2018
Colombia,Latin America and Caribbean,6.26,0.96,1.439,0.635,0.531,0.099,0.039,2018
Trinidad and Tobago,Latin America and Caribbean,6.192,1.223,1.492,0.564,0.575,0.171,0.019,2018
Slovakia,Central and Eastern Europe,6.173,1.21,1.537,0.776,0.354,0.118,0.014,2018
El Salvador,Latin America and Caribbean,6.167,0.806,1.231,0.639,0.461,0.065,0.082,2018
Nicaragua,Latin America and Caribbean,6.141,0.668,1.319,0.7,0.527,0.208,0.128,2018
Poland,Central and Eastern Europe,6.123,1.176,1.448,0.781,0.546,0.108,0.064,2018
Bahrain,Middle East and North Africa,6.105,1.338,1.366,0.698,0.594,0.243,0.123,2018
Uzbekistan,Commonwealth of Independent States,6.096,0.719,1.584,0.605,0.724,0.328,0.259,2018
Kuwait,Middle East and North Africa,6.083,1.474,1.301,0.675,0.554,0.167,0.106,2018
Thailand,Southeast Asia,6.072,1.016,1.417,0.707,0.637,0.364,0.029,2018
Italy,Western Europe,6,1.264,1.501,0.946,0.281,0.137,0.028,2018
Ecuador,Latin America and Caribbean,5.973,0.889,1.33,0.736,0.556,0.114,0.12,2018
Lithuania,Central and Eastern Europe,5.952,1.197,1.527,0.716,0.35,0.026,0.006,2018
Slovenia,Central and Eastern Europe,5.948,1.219,1.506,0.856,0.633,0.16,0.051,2018
Romania,Central and Eastern Europe,5.945,1.116,1.219,0.726,0.528,0.088,0.001,2018
Latvia,Central and Eastern Europe,5.933,1.148,1.454,0.671,0.363,0.092,0.066,2018
Japan,East Asia,5.915,1.294,1.462,0.988,0.553,0.079,0.15,2018
Mauritius,Sub-Saharan Africa,5.891,1.09,1.387,0.684,0.584,0.245,0.05,2018
Jamaica,Latin America and Caribbean,5.89,0.819,1.493,0.693,0.575,0.096,0.031,2018
South Korea,East Asia,5.875,1.266,1.204,0.955,0.244,0.175,0.051,2018
Cyprus,Western Europe,5.835,1.229,1.211,0.909,0.495,0.179,0.154,2018
Russia,Central and Eastern Europe,5.81,1.151,1.479,0.599,0.399,0.065,0.025,2018
Kazakhstan,Commonwealth of Independent States,5.79,1.143,1.516,0.631,0.454,0.148,0.121,2018
Cyprus,Western Europe,5.762,1.229,1.191,0.909,0.423,0.202,0.035,2018
Bolivia,Latin America and Caribbean,5.752,0.751,1.223,0.508,0.606,0.141,0.054,2018
Estonia,Central and Eastern Europe,5.739,1.2,1.532,0.737,0.553,0.086,0.174,2018
Paraguay,Latin America and Caribbean,5.681,0.835,1.522,0.615,0.541,0.162,0.074,2018
Peru,Latin America and Caribbean,5.663,0.934,1.249,0.674,0.53,0.092,0.034,2018
Kosovo,Central and Eastern Europe,5.662,0.855,1.23,0.578,0.448,0.274,0.023,2018
Moldova,Central and Eastern Europe,5.64,0.657,1.301,0.62,0.232,0.171,0,2018
Turkmenistan,Commonwealth of Independent States,5.636,1.016,1.533,0.517,0.417,0.199,0.037,2018
Hungary,Central and Eastern Europe,5.62,1.171,1.401,0.732,0.259,0.061,0.022,2018
Libya,Middle East and North Africa,5.566,0.985,1.35,0.553,0.496,0.116,0.148,2018
Philippines,Southeast Asia,5.524,0.775,1.312,0.513,0.643,0.12,0.105,2018
Honduras,Latin America and Caribbean,5.504,0.62,1.205,0.622,0.459,0.197,0.074,2018
Belarus,Central and Eastern Europe,5.483,1.039,1.498,0.7,0.307,0.101,0.154,2018
